context,celltype_display,mean_pred_day
GSE213216 | Lesion,Stroma,7.172860425642928
GSE213216 | No endometriosis detected,Decidual stroma,7.927678848845215
GSE213216 | No endometriosis detected,Endothelial,7.8366075400676
GSE213216 | No endometriosis detected,Glandular epithelium,7.397688689318787
GSE213216 | No endometriosis detected,Luminal epithelium,7.784159696139487
GSE213216 | No endometriosis detected,Lymphoid,8.300960739220432
GSE213216 | No endometriosis detected,Myeloid,7.97555184711936
GSE213216 | No endometriosis detected,Stroma,7.12189143595406
GSE213216 | Ovary,Decidual stroma,5.180643338268878
GSE213216 | Ovary,Endothelial,4.8979377331093445
GSE213216 | Ovary,Glandular epithelium,6.656063149694575
GSE213216 | Ovary,Luminal epithelium,6.57966946987102
GSE213216 | Ovary,Lymphoid,5.2441405699193595
GSE213216 | Ovary,Myeloid,5.40398809552284
GSE213216 | Ovary,Stroma,5.60926680046956
GSE214411 | Control,Decidual stroma,7.130984384897316
GSE214411 | Control,Endothelial,5.874475218318414
GSE214411 | Control,Glandular epithelium,7.2525261793779245
GSE214411 | Control,Luminal epithelium,6.79042611892143
GSE214411 | Control,Lymphoid,7.061587306119619
GSE214411 | Control,Myeloid,6.422397802881843
GSE214411 | Control,Stroma,6.777358595489974
GSE214411 | Endometriosis,Decidual stroma,6.596835181261383
GSE214411 | Endometriosis,Endothelial,8.218289092440033
GSE214411 | Endometriosis,Glandular epithelium,7.097311104219283
GSE214411 | Endometriosis,Luminal epithelium,7.259067797539297
GSE214411 | Endometriosis,Lymphoid,7.260477620080702
GSE214411 | Endometriosis,Myeloid,7.683800500447975
GSE214411 | Endometriosis,Stroma,7.292724206661879
