"dataset","comparison","celltype","estimate_full","lower_full","upper_full","estimate_non_endo","lower_non_endo","upper_non_endo","delta"
"GSE250130","RIF vs Fertile_LH7","Glandular_Epi",1.09123334978527,-0.0745780701808824,2.28050640906532,1.37195420623013,0.115587621146752,2.61267998191127,0.280720856444855
"GSE179640","Endo_Eutopic vs Control_Eutopic","Stroma",-1.68708998649936,-3.68386253239605,0.483156238263192,-1.61895837741407,-3.48192821048294,0.508451885545352,0.068131609085291
"GSE214411","Endometriosis vs Control","Endothelial",2.34381387412162,-0.906298450775419,5.03941219935524,2.55764872715761,-0.698997992227834,5.01142829522054,0.213834853035991
