"mode","iteration","rho","mae","pairwise_concordance","mode_label"
"random",1,0.836553603086089,1.23872694535397,0.904761904761905,"Random 80-gene sets"
"random",2,0.658428121060154,1.50411848816367,0.793650793650794,"Random 80-gene sets"
"random",3,0.852457663981262,1.20269276607408,0.904761904761905,"Random 80-gene sets"
"random",4,0.715682740282776,1.44413142455571,0.80952380952381,"Random 80-gene sets"
"random",5,0.858819288339331,1.14332880394281,0.904761904761905,"Random 80-gene sets"
"random",6,0.757033298610225,1.50079243111712,0.849206349206349,"Random 80-gene sets"
"random",7,0.79520304475864,1.30309586996531,0.873015873015873,"Random 80-gene sets"
"random",8,0.645704872344016,1.71688206792293,0.785714285714286,"Random 80-gene sets"
"random",9,0.712501928103741,1.67074255747587,0.825396825396825,"Random 80-gene sets"
"random",10,0.687055430671465,1.49110844066902,0.80952380952381,"Random 80-gene sets"
"random",11,0.776118171684433,1.28719913621723,0.857142857142857,"Random 80-gene sets"
"random",12,0.71886355246181,1.58512165971165,0.817460317460317,"Random 80-gene sets"
"random",13,0.798383856937674,1.49882166430311,0.865079365079365,"Random 80-gene sets"
"random",14,0.61389675055367,1.7654003984128,0.793650793650794,"Random 80-gene sets"
"random",15,0.83019197872802,1.30333386859511,0.888888888888889,"Random 80-gene sets"
"random",16,0.769756547326363,1.30806874853591,0.857142857142857,"Random 80-gene sets"
"random",17,0.72522517681988,1.49591240722058,0.817460317460317,"Random 80-gene sets"
"random",18,0.750671674252156,1.41317443204465,0.825396825396825,"Random 80-gene sets"
"random",19,0.722044364640845,1.39297765826184,0.817460317460317,"Random 80-gene sets"
"random",20,0.617077562732705,1.63544072479292,0.76984126984127,"Random 80-gene sets"
"random",21,0.820649542190916,1.0182391428922,0.888888888888889,"Random 80-gene sets"
"random",22,0.776118171684433,1.14956049707345,0.865079365079365,"Random 80-gene sets"
"random",23,0.804745481295744,1.4131063271054,0.865079365079365,"Random 80-gene sets"
"random",24,0.798383856937674,1.23069327287565,0.865079365079365,"Random 80-gene sets"
"random",25,0.769756547326363,1.34870495218892,0.857142857142857,"Random 80-gene sets"
"random",26,0.766575735147329,1.34759214270425,0.849206349206349,"Random 80-gene sets"
"random",27,0.779298983863467,1.35903697123841,0.865079365079365,"Random 80-gene sets"
"random",28,0.801564669116709,1.32258291940468,0.865079365079365,"Random 80-gene sets"
"random",29,0.823830354369951,1.27354383303662,0.888888888888889,"Random 80-gene sets"
"random",30,0.820649542190916,1.29566319252533,0.888888888888889,"Random 80-gene sets"
"random",31,0.750671674252156,1.40249692003598,0.849206349206349,"Random 80-gene sets"
"random",32,0.731586801177949,1.4356322111908,0.841269841269841,"Random 80-gene sets"
"random",33,0.868361724876435,1.09484924822565,0.912698412698413,"Random 80-gene sets"
"random",34,0.744310049894087,1.45839765585462,0.841269841269841,"Random 80-gene sets"
"random",35,0.772937359505398,1.30983072753537,0.865079365079365,"Random 80-gene sets"
"random",36,0.849276851802227,1.25904864660395,0.896825396825397,"Random 80-gene sets"
"random",37,0.709321115924707,1.63423401661165,0.817460317460317,"Random 80-gene sets"
"random",38,0.750671674252156,1.33605679486271,0.841269841269841,"Random 80-gene sets"
"random",39,0.76021411078926,1.44911058453276,0.849206349206349,"Random 80-gene sets"
"random",40,0.728405988998914,1.52484092142701,0.833333333333333,"Random 80-gene sets"
"random",41,0.68387461849243,1.68461153616871,0.793650793650794,"Random 80-gene sets"
"random",42,0.807926293474778,1.41798119824263,0.888888888888889,"Random 80-gene sets"
"random",43,0.680693806313396,1.37692952006413,0.793650793650794,"Random 80-gene sets"
"random",44,0.782479796042502,1.38180529431651,0.849206349206349,"Random 80-gene sets"
"random",45,0.79520304475864,1.48037806578107,0.873015873015873,"Random 80-gene sets"
"random",46,0.677512994134361,1.66965865036825,0.801587301587302,"Random 80-gene sets"
"random",47,0.776118171684433,1.46714598277832,0.857142857142857,"Random 80-gene sets"
"random",48,0.680693806313396,1.61000927547485,0.801587301587302,"Random 80-gene sets"
"random",49,0.814287917832847,1.11913505475421,0.880952380952381,"Random 80-gene sets"
"random",50,0.776118171684433,1.33970674030493,0.865079365079365,"Random 80-gene sets"
"random",51,0.747490862073121,1.6127377797988,0.833333333333333,"Random 80-gene sets"
"random",52,0.741129237715052,1.26753595656234,0.833333333333333,"Random 80-gene sets"
"random",53,0.728405988998914,1.55935030971631,0.817460317460317,"Random 80-gene sets"
"random",54,0.811107105653813,1.27201491263408,0.880952380952381,"Random 80-gene sets"
"random",55,0.731586801177949,1.52333932060936,0.825396825396825,"Random 80-gene sets"
"random",56,0.71886355246181,1.49772896180343,0.825396825396825,"Random 80-gene sets"
"random",57,0.677512994134361,1.6404808662213,0.793650793650794,"Random 80-gene sets"
"random",58,0.766575735147329,1.37176189617127,0.841269841269841,"Random 80-gene sets"
"random",59,0.72522517681988,1.46004198416317,0.833333333333333,"Random 80-gene sets"
"random",60,0.852457663981262,1.19624907744453,0.904761904761905,"Random 80-gene sets"
"random",61,0.706140303745672,1.57359952639276,0.817460317460317,"Random 80-gene sets"
"random",62,0.741129237715052,1.47352824665804,0.833333333333333,"Random 80-gene sets"
"random",63,0.696597867208569,1.48880808744512,0.817460317460317,"Random 80-gene sets"
"random",64,0.696597867208569,1.49601750295194,0.80952380952381,"Random 80-gene sets"
"random",65,0.772937359505398,1.56051471069028,0.833333333333333,"Random 80-gene sets"
"random",66,0.833372790907055,1.28824828397988,0.896825396825397,"Random 80-gene sets"
"random",67,0.8651809126974,1.23095336428704,0.912698412698413,"Random 80-gene sets"
"random",68,0.72522517681988,1.3511378202525,0.833333333333333,"Random 80-gene sets"
"random",69,0.734767613356983,1.53642477762055,0.825396825396825,"Random 80-gene sets"
"random",70,0.744310049894087,1.54986174481958,0.841269841269841,"Random 80-gene sets"
"random",71,0.737948425536018,1.40230411435585,0.841269841269841,"Random 80-gene sets"
"random",72,0.817468730011882,1.2642083840396,0.873015873015873,"Random 80-gene sets"
"random",73,0.747490862073121,1.58639534869457,0.841269841269841,"Random 80-gene sets"
"random",74,0.75385248643119,1.54520198131888,0.833333333333333,"Random 80-gene sets"
"random",75,0.804745481295744,1.50536000826515,0.873015873015873,"Random 80-gene sets"
"random",76,0.792022232579605,1.14721919075471,0.873015873015873,"Random 80-gene sets"
"random",77,0.782479796042502,1.361108925434,0.857142857142857,"Random 80-gene sets"
"random",78,0.712501928103741,1.46304237801176,0.825396825396825,"Random 80-gene sets"
"random",79,0.827011166548985,1.27739711354198,0.888888888888889,"Random 80-gene sets"
"random",80,0.833372790907055,1.34776537544937,0.888888888888889,"Random 80-gene sets"
"random",81,0.75385248643119,1.42252355432425,0.833333333333333,"Random 80-gene sets"
"random",82,0.814287917832847,1.35824860977757,0.880952380952381,"Random 80-gene sets"
"random",83,0.785660608221536,1.24401221701495,0.865079365079365,"Random 80-gene sets"
"random",84,0.801564669116709,1.26448340938472,0.873015873015873,"Random 80-gene sets"
"random",85,0.722044364640845,1.47606313660929,0.817460317460317,"Random 80-gene sets"
"random",86,0.763394922968294,1.33333945791061,0.849206349206349,"Random 80-gene sets"
"random",87,0.696597867208569,1.64697409337319,0.817460317460317,"Random 80-gene sets"
"random",88,0.769756547326363,1.40371204946984,0.857142857142857,"Random 80-gene sets"
"random",89,0.785660608221536,1.45105509988915,0.857142857142857,"Random 80-gene sets"
"random",90,0.734767613356983,1.59897792938998,0.825396825396825,"Random 80-gene sets"
"random",91,0.702959491566638,1.44522579374678,0.825396825396825,"Random 80-gene sets"
"random",92,0.757033298610225,1.66925828609697,0.857142857142857,"Random 80-gene sets"
"random",93,0.757033298610225,1.39372800609817,0.849206349206349,"Random 80-gene sets"
"random",94,0.76021411078926,1.44093355631312,0.849206349206349,"Random 80-gene sets"
"random",95,0.722044364640845,1.4974550031269,0.817460317460317,"Random 80-gene sets"
"random",96,0.741129237715052,1.33655554395317,0.833333333333333,"Random 80-gene sets"
"random",97,0.785660608221536,1.43521527599073,0.849206349206349,"Random 80-gene sets"
"random",98,0.750671674252156,1.32771586267472,0.833333333333333,"Random 80-gene sets"
"random",99,0.798383856937674,1.46936907226122,0.873015873015873,"Random 80-gene sets"
"random",100,0.766575735147329,1.3197869388309,0.841269841269841,"Random 80-gene sets"
"random",101,0.71886355246181,1.37611083642229,0.817460317460317,"Random 80-gene sets"
"random",102,0.820649542190916,1.19486621498778,0.888888888888889,"Random 80-gene sets"
"random",103,0.807926293474778,1.29379619511083,0.873015873015873,"Random 80-gene sets"
"random",104,0.769756547326363,1.39742102695656,0.849206349206349,"Random 80-gene sets"
"random",105,0.652066496702085,1.53751865291821,0.793650793650794,"Random 80-gene sets"
"random",106,0.572546192226221,1.78593568181592,0.746031746031746,"Random 80-gene sets"
"random",107,0.776118171684433,1.39972102395182,0.865079365079365,"Random 80-gene sets"
"random",108,0.76021411078926,1.38432482519411,0.849206349206349,"Random 80-gene sets"
"random",109,0.842915227444158,1.13682331289711,0.888888888888889,"Random 80-gene sets"
"random",110,0.744310049894087,1.57683492995106,0.833333333333333,"Random 80-gene sets"
"random",111,0.763394922968294,1.27460146791322,0.857142857142857,"Random 80-gene sets"
"random",112,0.823830354369951,1.22081493855308,0.880952380952381,"Random 80-gene sets"
"random",113,0.839734415265124,1.30437265811004,0.904761904761905,"Random 80-gene sets"
"random",114,0.696597867208569,1.58332059347758,0.817460317460317,"Random 80-gene sets"
"random",115,0.779298983863467,1.35546128194201,0.865079365079365,"Random 80-gene sets"
"random",116,0.75385248643119,1.44166660426893,0.849206349206349,"Random 80-gene sets"
"random",117,0.823830354369951,1.25895604143984,0.896825396825397,"Random 80-gene sets"
"random",118,0.79520304475864,1.36185721736784,0.873015873015873,"Random 80-gene sets"
"random",119,0.737948425536018,1.46023681171506,0.825396825396825,"Random 80-gene sets"
"random",120,0.72522517681988,1.32938951927985,0.825396825396825,"Random 80-gene sets"
"random",121,0.734767613356983,1.44297297762599,0.841269841269841,"Random 80-gene sets"
"random",122,0.798383856937674,1.34939195352549,0.873015873015873,"Random 80-gene sets"
"random",123,0.792022232579605,1.31243095704798,0.865079365079365,"Random 80-gene sets"
"random",124,0.715682740282776,1.53196447838992,0.825396825396825,"Random 80-gene sets"
"random",125,0.827011166548985,1.1821659025064,0.888888888888889,"Random 80-gene sets"
"random",126,0.712501928103741,1.46816998429009,0.817460317460317,"Random 80-gene sets"
"random",127,0.617077562732705,1.76349714580758,0.76984126984127,"Random 80-gene sets"
"random",128,0.693417055029534,1.59072728761671,0.801587301587302,"Random 80-gene sets"
"random",129,0.772937359505398,1.42134841067265,0.865079365079365,"Random 80-gene sets"
"random",130,0.772937359505398,1.29329967519227,0.857142857142857,"Random 80-gene sets"
"random",131,0.757033298610225,1.27361679293209,0.841269841269841,"Random 80-gene sets"
"random",132,0.664789745418223,1.75383407924363,0.785714285714286,"Random 80-gene sets"
"random",133,0.785660608221536,1.43503300877311,0.857142857142857,"Random 80-gene sets"
"random",134,0.632981623627877,1.59905803742124,0.777777777777778,"Random 80-gene sets"
"random",135,0.820649542190916,1.22905175147606,0.888888888888889,"Random 80-gene sets"
"random",136,0.750671674252156,1.42127676621562,0.841269841269841,"Random 80-gene sets"
"random",137,0.782479796042502,1.34657527527919,0.857142857142857,"Random 80-gene sets"
"random",138,0.817468730011882,1.15115448697661,0.880952380952381,"Random 80-gene sets"
"random",139,0.804745481295744,1.34476903066826,0.873015873015873,"Random 80-gene sets"
"random",140,0.785660608221536,1.34431414920586,0.865079365079365,"Random 80-gene sets"
"random",141,0.814287917832847,1.33104723042718,0.880952380952381,"Random 80-gene sets"
"random",142,0.836553603086089,1.23758749370921,0.896825396825397,"Random 80-gene sets"
"random",143,0.858819288339331,1.18429387342083,0.912698412698413,"Random 80-gene sets"
"random",144,0.779298983863467,1.28379319497457,0.857142857142857,"Random 80-gene sets"
"random",145,0.737948425536018,1.53847629434567,0.841269841269841,"Random 80-gene sets"
"random",146,0.769756547326363,1.28359519723034,0.857142857142857,"Random 80-gene sets"
"random",147,0.693417055029534,1.47570707969915,0.817460317460317,"Random 80-gene sets"
"random",148,0.715682740282776,1.66083727567264,0.817460317460317,"Random 80-gene sets"
"random",149,0.817468730011882,1.38405929622285,0.880952380952381,"Random 80-gene sets"
"random",150,0.776118171684433,1.38355333769717,0.849206349206349,"Random 80-gene sets"
"random",151,0.667970557597258,1.6770381540746,0.801587301587302,"Random 80-gene sets"
