mode_label,rho_median,rho_q025,rho_q975,B,rho_exceedances_ge,rho_empirical_p_raw_ge,rho_empirical_p_plus1_ge,mae_median,pairwise_median,observed_rho,observed_mae,observed_pairwise
Housekeeping-like gene sets,-0.801564669116709,-0.9051001055442836,-0.6527821794423677,250,0,0,0.00398406374501992,3.965223192292995,0.142857142857143,0.919254719740988,0.957291,0.952381
Permuted LH labels,-0.0890627410129677,-0.5615723902085514,0.379470892958823,250,0,0,0.00398406374501992,2.516019937081325,0.46031746031746,0.919254719740988,0.957291,0.952381
Random 80-gene sets,0.757033298610225,0.6216897403923045,0.858819288339331,250,0,0,0.00398406374501992,1.413140379575025,0.849206349206349,0.919254719740988,0.957291,0.952381
