"sample","celltype","receptivity_score","group","day","pred_day","timing_state"
"endometrium, LH3_3, rep3","Endothelial",-0.579968805065078,"LH3",3,3.91566910753971,"Delayed"
"endometrium, LH11_2, rep2","Endothelial",0.460294877240462,"LH11",11,9.36939477470099,"Advanced"
"endometrium, RIF_4, rep4","Endothelial",0.110468840082332,"RIF",NA,7.53538358086385,"In-phase"
"endometrium, LH11_3, rep3","Endothelial",0.289413453856026,"LH11",11,8.47352537100587,"In-phase"
"endometrium, RIF_5, rep5","Endothelial",0.050414117493774,"RIF",NA,7.22053842421127,"In-phase"
"endometrium, RIF_8, rep8","Endothelial",0.197485868317588,"RIF",NA,7.99158233935066,"In-phase"
"endometrium, RIF_9, rep9","Endothelial",-0.154590616271355,"RIF",NA,6.14577286482297,"Delayed"
"endometrium, RIF_10, rep10","Endothelial",0.21784039674863,"RIF",NA,8.09829375880665,"In-phase"
"endometrium, RIF_1, rep1","Glandular_Epi",-0.720158161162211,"RIF",NA,4.99347019245016,"Delayed"
"endometrium, RIF_6, rep6","Glandular_Epi",0.240210228573985,"RIF",NA,7.91050628988148,"In-phase"
"endometrium, LH7_PGT_1, rep1","Glandular_Epi",-0.109253714717531,"Fertile_LH7",7,6.84903972327358,"In-phase"
"endometrium, LH7_PGT_2, rep2","Glandular_Epi",-0.220442924293136,"Fertile_LH7",7,6.51131209558064,"In-phase"
"endometrium, RIF_7, rep7","Glandular_Epi",0.507643480119313,"RIF",NA,8.72281171012282,"Advanced"
"endometrium, RIF_2, rep2","Glandular_Epi",-0.593854020066201,"RIF",NA,5.37710812011386,"Delayed"
"endometrium, LH7_1, rep1","Glandular_Epi",0.276391325103016,"Fertile_LH7",7,8.02040324791112,"In-phase"
"endometrium, LH7_PGT_3, rep3","Glandular_Epi",-0.252765099363245,"Fertile_LH7",7,6.41313627843103,"Delayed"
"endometrium, LH7_2, rep2","Glandular_Epi",-0.856056582274901,"Fertile_LH7",7,4.5806904672881,"Delayed"
"endometrium, LH5_1, rep1","Glandular_Epi",-1.00130277710413,"LH5",5,4.13951768623917,"Delayed"
"endometrium, LH5_2, rep2","Glandular_Epi",-0.707645571067956,"LH5",5,5.03147610493894,"Delayed"
"endometrium, LH7_3, rep3","Glandular_Epi",-0.350279702094495,"Fertile_LH7",7,6.11694408881526,"Delayed"
"endometrium, LH9_1, rep1","Glandular_Epi",0.419756544827592,"LH9",9,8.45586272942075,"In-phase"
"endometrium, RIF_3, rep3","Glandular_Epi",0.125480427508676,"RIF",NA,7.56202442111595,"In-phase"
"endometrium, LH9_2, rep2","Glandular_Epi",0.781277569817227,"LH9",9,9.55395164107768,"Advanced"
"endometrium, LH5_3, rep3","Glandular_Epi",-0.695200443200822,"LH5",5,5.06927710673529,"Delayed"
