"program","mean_delta","lower","upper","n_sections","same_direction_sections","signflip_p","fdr","consistency"
"IFN_program",-0.0307140522374038,-0.046004727711334,-0.0173983812333784,8,8,0.0078125,0.02734375,"8/8 sections"
"Chemokine_receptors",-0.0124068200730714,-0.0164012761787122,-0.00811383466930463,8,8,0.0078125,0.02734375,"8/8 sections"
"TGFB_VEGF_axis",-0.0444134409000541,-0.0642229177182119,-0.0237763972601361,8,7,0.015625,0.0328125,"7/8 sections"
"CXCL_ligands",-0.0306851618517013,-0.0481122708373835,-0.0125394772603955,8,7,0.0234375,0.0328125,"7/8 sections"
"TNF_IL1_program",-0.0291704325036544,-0.0489450942476268,-0.0113225260208765,8,7,0.0234375,0.0328125,"7/8 sections"
"CCL_ligands",-0.00474746406822504,-0.00994053834537189,0.000459436034933444,8,5,0.1484375,0.173177083333333,"5/8 sections"
"MMP_ECM_axis",-0.0160344824114415,-0.0594425659437658,0.0322288403890002,8,5,0.546875,0.546875,"5/8 sections"
