disease	included_datasets	scenario	score_version	effect_definition	k	pooled_effect	se_hk	ci_low	ci_high	p_value	tau_squared	I_squared	Q	Q_p_value	pi_low	pi_high	HK_df	weighting_method	independent_biological_unit	coverage_restriction	leave_one_dataset_out_range	effect_direction_consistency
RIF	GSE111974;GSE250130	all	historical_score	case-minus-control mean projected day; inverse-variance REML random effects	2	-0.110419348617838	0.598756587113286	-7.71834313161247	7.49750443437679	0.883902513688212	0.463717949040411	8.73230581139343e-06	1.00000873238207	0.317308394891325	NA	NA	1	REML inverse(vi + tau-squared); Hartung–Knapp t interval	one dataset-level effect from independent sample/pseudobulk units; no ROI/spot pooling	all	NA	1 positive; 1 negative
RIF	GSE111974;GSE250130	exclude_low	historical_score	case-minus-control mean projected day; inverse-variance REML random effects	2	-0.110419348617838	0.598756587113286	-7.71834313161247	7.49750443437679	0.883902513688212	0.463717949040411	8.73230581139343e-06	1.00000873238207	0.317308394891325	NA	NA	1	REML inverse(vi + tau-squared); Hartung–Knapp t interval	one dataset-level effect from independent sample/pseudobulk units; no ROI/spot pooling	exclude_low	NA	1 positive; 1 negative
RIF	GSE111974;GSE250130	exclude_severely_imbalanced	historical_score	case-minus-control mean projected day; inverse-variance REML random effects	2	-0.110419348617838	0.598756587113286	-7.71834313161247	7.49750443437679	0.883902513688212	0.463717949040411	8.73230581139343e-06	1.00000873238207	0.317308394891325	NA	NA	1	REML inverse(vi + tau-squared); Hartung–Knapp t interval	one dataset-level effect from independent sample/pseudobulk units; no ROI/spot pooling	exclude_severely_imbalanced	NA	1 positive; 1 negative
RIF	GSE250130	complete_high_only	historical_score	case-minus-control mean projected day; inverse-variance REML random effects	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REML inverse(vi + tau-squared); Hartung–Knapp t interval	one dataset-level effect from independent sample/pseudobulk units; no ROI/spot pooling	complete_high_only	NA	all positive
RIF	GSE111974;GSE250130	all	corrected_coverage_matched	case-minus-control mean projected day; inverse-variance REML random effects	2	-0.109010555680731	0.595227913158258	-7.67209828495557	7.4540771735941	0.884686794446663	0.457737188803579	1.07298440998922e-05	1.00001072995923	0.317307911540834	NA	NA	1	REML inverse(vi + tau-squared); Hartung–Knapp t interval	one dataset-level effect from independent sample/pseudobulk units; no ROI/spot pooling	all	NA	1 positive; 1 negative
RIF	GSE111974;GSE250130	exclude_low	corrected_coverage_matched	case-minus-control mean projected day; inverse-variance REML random effects	2	-0.109010555680731	0.595227913158258	-7.67209828495557	7.4540771735941	0.884686794446663	0.457737188803579	1.07298440998922e-05	1.00001072995923	0.317307911540834	NA	NA	1	REML inverse(vi + tau-squared); Hartung–Knapp t interval	one dataset-level effect from independent sample/pseudobulk units; no ROI/spot pooling	exclude_low	NA	1 positive; 1 negative
RIF	GSE111974;GSE250130	exclude_severely_imbalanced	corrected_coverage_matched	case-minus-control mean projected day; inverse-variance REML random effects	2	-0.109010555680731	0.595227913158258	-7.67209828495557	7.4540771735941	0.884686794446663	0.457737188803579	1.07298440998922e-05	1.00001072995923	0.317307911540834	NA	NA	1	REML inverse(vi + tau-squared); Hartung–Knapp t interval	one dataset-level effect from independent sample/pseudobulk units; no ROI/spot pooling	exclude_severely_imbalanced	NA	1 positive; 1 negative
RIF	GSE250130	complete_high_only	corrected_coverage_matched	case-minus-control mean projected day; inverse-variance REML random effects	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REML inverse(vi + tau-squared); Hartung–Knapp t interval	one dataset-level effect from independent sample/pseudobulk units; no ROI/spot pooling	complete_high_only	NA	all positive
